"","UMAP1","UMAP2","cl","ct"
"89",-8.65157758840555,10.090023046096,"Ref","AU565"
"90",-9.101240750637,9.90595722730935,"Ref","AU565"
"91",-8.27225076803202,10.2127752357322,"Ref","AU565"
"92",-8.42062818655008,10.1476450019676,"Ref","AU565"
"93",-8.30904352315897,10.2016506248313,"Ref","AU565"
"94",-8.65014707693094,10.0780086570579,"Ref","AU565"
"95",-8.79006349691385,10.014824872573,"Ref","AU565"
"96",-8.22166502126688,10.2360725456077,"Ref","AU565"
"97",-8.52922308095926,10.1229877525169,"Ref","AU565"
"98",-8.2931410039329,10.2112703376609,"Ref","AU565"
"99",-9.11675321706766,9.8639507346946,"Ref","AU565"
"100",-9.07653772481913,9.89390183027566,"Ref","AU565"
"101",-8.69672548421854,10.0479850822288,"Ref","AU565"
"102",-8.46235048421854,10.1367597633201,"Ref","AU565"
"103",-9.11124384054178,9.88685036238015,"Ref","AU565"
"104",-8.97949564107889,9.94935799177468,"Ref","AU565"
"105",-8.22008764394755,10.2396345191795,"Ref","AU565"
"106",-9.07988321432108,9.87999439771951,"Ref","AU565"
"107",-8.31316244253153,10.1958665901023,"Ref","AU565"
"108",-8.73831331380839,10.0383672767478,"Ref","AU565"
"109",-8.72070467123026,10.0468578391868,"Ref","AU565"
"110",-9.13346349843973,9.86072159345925,"Ref","AU565"
"111",-8.59495794424051,10.1116018348533,"Ref","AU565"
"112",-9.05515348562235,9.89340305860818,"Ref","AU565"
"113",-8.25381815084452,10.230048184951,"Ref","AU565"
"114",-8.29996358999247,10.2069873863059,"Ref","AU565"
"115",-8.76940881856913,10.0182800346214,"Ref","AU565"
"116",-8.63428270467753,10.080332761367,"Ref","AU565"
"117",-9.04209863790506,9.91242218550027,"Ref","AU565"
"118",-9.09009897359842,9.90054894026101,"Ref","AU565"
"119",-9.00275957235331,9.92445278700173,"Ref","AU565"
"120",-8.90618097433085,9.9687099510032,"Ref","AU565"
"121",-9.04778730520243,9.9301242881614,"Ref","AU565"
"122",-9.03717863210673,9.90004158552468,"Ref","AU565"
"123",-8.54896700033182,10.0857572608787,"Ref","AU565"
"124",-9.04388963827128,9.9170742088157,"Ref","AU565"
"125",-8.52933275350565,10.1240577750999,"Ref","AU565"
"126",-9.08882677206034,9.90091515119851,"Ref","AU565"
"127",-8.55113470205301,10.0937461906272,"Ref","AU565"
"128",-8.60480749258036,10.0772571616966,"Ref","AU565"
"129",-8.52974283346171,10.0879411750633,"Ref","AU565"
"130",-8.74482309469217,10.0461549812156,"Ref","AU565"
"131",-8.69507467397684,10.0232915931541,"Ref","AU565"
"132",-8.78107702383036,10.02875900801,"Ref","AU565"
"133",-8.31488096364969,10.1963310294944,"Ref","AU565"
"134",-8.31327211507792,10.2282857948142,"Ref","AU565"
"135",-8.877532597866,10.0058221870261,"Ref","AU565"
"136",-8.30360757955546,10.1958599143821,"Ref","AU565"
"137",-9.11711847433085,9.90175056989968,"Ref","AU565"
"138",-8.25255357870096,10.226437573989,"Ref","AU565"
"139",-8.83999597677225,9.99701500471413,"Ref","AU565"
"140",-9.05828249105448,9.89329720075906,"Ref","AU565"
"141",-9.08857690938944,9.89784145887673,"Ref","AU565"
"142",-9.07301389822001,9.85404968794167,"Ref","AU565"
"143",-8.29509222158426,10.2022638374168,"Ref","AU565"
"144",-8.63835298665995,10.0728330665427,"Ref","AU565"
"145",-8.40516721853251,10.1641378455955,"Ref","AU565"
"146",-8.30895673879618,10.1983518653709,"Ref","AU565"
"147",-9.04327165731424,9.93583202894509,"Ref","AU565"
"148",-8.97608148702616,9.96245670851052,"Ref","AU565"
"149",-8.64833128103251,10.0260286384422,"Ref","AU565"
"150",-8.47955000051493,10.123654370864,"Ref","AU565"
"151",-8.61849081167215,10.0607175880271,"Ref","AU565"
"152",-8.56250536092753,10.0752716117698,"Ref","AU565"
"153",-9.11633550771708,9.87219620283425,"Ref","AU565"
"154",-8.30958044179911,10.1881876045066,"Ref","AU565"
"155",-9.027190800991,9.98545933302224,"Ref","AU565"
"156",-8.85358965047831,9.98391914900124,"Ref","AU565"
