"","CID3921","CID45171","CID4066","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID3941","CID3948","CID4067","CID4290A"
"RP11-403I13.7",0,3,4,0,0,3,2,10,6,0,1,0,0,0,3,8,0,0,12,28
"RP5-998N21.4",0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0
"HIST2H3PS2",0,0,0,0,0,3,0,3,1,0,0,0,1,0,0,0,0,0,3,1
"FAM72C",0,41,0,0,0,0,3,1,20,6,0,2,1,0,0,0,0,0,4,0
"RP11-14N7.2",233,861,142,5,118,321,1172,5119,887,136,1,16,193,75,42,221,7,123,126,464
"RP11-763B22.4",0,22,0,3,0,8,2,1,20,1,1,3,3,0,6,4,2,2,13,17
"NBPF15",79,83,30,0,84,127,452,527,68,22,9,5,51,435,90,22,24,76,309,1010
"RP11-289H16.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRGAP2B",8,79,11,1,3,20,75,118,178,21,9,6,3,8,92,106,0,0,51,83
"FAM72D",1,38,1,0,3,6,11,4,107,74,6,1,1,0,6,23,0,0,6,2
"AC241585.2",13,13,56,0,70,1195,124,59,7,0,69,0,8,0,3,8,0,0,519,653
"CH17-373J23.1",18,21,2,0,17,85,110,62,139,62,6,0,5,8,9,48,5,4,24,47
"RP11-89F3.2",0,6,0,0,0,0,1,0,0,0,0,1,0,0,5,2,0,0,1,2
"NBPF20",40,91,18,0,45,210,233,162,244,44,7,4,47,86,56,50,10,27,95,237
"GPR89A",146,255,85,15,90,261,329,138,506,335,91,12,343,56,437,877,39,90,449,470
"PDZK1",1,1,2,0,2,2,7,2,9,1,1,3,2116,461,168,53,9,77,828,2
"CD160",2,3,0,0,3,3,4,7,3,2,0,0,0,0,3,3,0,0,4,14
"RNF115",339,352,448,39,614,1109,2647,1048,2441,766,176,27,592,348,1686,1278,56,118,910,2095
"POLR3C",114,78,107,11,517,652,631,306,318,191,83,5,266,88,266,373,19,43,164,385
"NUDT17",8,13,29,0,26,154,71,82,57,48,6,3,49,12,125,93,4,15,66,166
"PIAS3",239,116,130,15,122,632,581,524,535,248,67,10,246,77,710,694,29,65,708,1210
"ANKRD35",18,202,2,0,2,203,5,7,321,22,6,0,0,0,8,3,0,0,3,14
"ITGA10",3,13,4,1,6,113,58,358,30,6,1,1,5,1,322,123,1,1,15,143
"PEX11B",480,283,326,24,697,1543,1633,497,728,318,79,33,604,148,1034,1269,61,148,1029,2225
"RBM8A",1145,1977,1489,260,3632,8317,12002,3225,11121,8568,897,109,2789,666,4487,5431,253,489,2619,5318
"RP11-315I20.1",8,47,0,1,21,7,12,3,22,48,2,0,38,0,14,63,1,8,16,18
