"","CID3586","CID3921","CID45171","CID3838","CID4066","CID44041","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3946","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID4040","CID3941","CID3948","CID4067","CID4290A","CID4398"
"ADGRG2",3,2,2,26,6,3,0,8,4,8,0,26,7,5,1,0,0,13,8,4,9,1,0,3,5,0
"PDHA1",419,1009,755,1513,945,232,84,2791,2688,3291,1514,2737,1777,32,379,42,674,2314,2294,2201,889,41,124,291,730,188
"MAP3K15",2,3,1,5,2,1,0,8,15,4,3,3,0,0,0,0,2,7,2,1,1,1,2,1,10,0
"SH3KBP1",1156,871,452,3508,1109,841,58,3774,4612,655,4461,2844,163,104,939,20,133,1643,1315,746,1534,103,309,311,311,705
"CXorf23",60,131,87,419,126,43,10,106,155,184,210,240,68,9,42,0,33,388,594,205,200,13,23,112,304,26
"MAP7D2",5,219,0,17,9,6,0,37,8,6,3,260,5,0,1,0,1,8,4,1,4,0,1,10,7,2
"EIF1AX",3834,4011,4649,6447,5064,1741,360,6013,7540,8888,8396,9985,3841,164,2115,129,1914,11098,14869,10191,4396,459,1000,3493,7515,883
"RPS6KA3",431,440,192,1644,438,184,44,812,720,239,1187,854,189,30,315,8,40,1552,867,206,1025,40,105,241,234,488
"CNKSR2",32,15,4,19,8,16,1,61,54,5,8,163,0,0,22,0,1,86,6,1,17,5,6,9,9,6
"KLHL34",3,4,4,6,1,1,0,1,16,1,2,6,0,0,2,0,0,4,0,0,0,0,0,0,0,1
"SMPX",1,2,1,0,3,0,2,0,2,2,1,114,0,0,0,0,1,18,29,1,0,0,0,0,1,1
"MBTPS2",72,157,135,241,212,44,11,227,307,309,398,263,108,9,61,9,84,357,538,366,123,14,35,152,414,29
"YY2",9,8,40,35,18,20,1,20,18,34,40,54,8,1,5,0,3,36,109,46,37,0,1,12,45,8
"SMS",1395,4564,4624,3128,4160,484,198,5204,6553,5441,6916,8965,4709,37,1316,53,1741,3565,5422,7075,903,237,685,1454,4738,166
"PHEX",34,61,114,31,216,14,4,40,143,71,64,47,26,0,16,9,5,87,123,27,30,1,7,37,52,21
"PTCHD1",29,7,6,19,20,14,11,7,85,73,2,65,2,0,11,0,1,183,74,14,2,1,1,1,14,7
"PRDX4",781,5563,2165,4308,5658,670,515,8886,6259,12906,7229,12676,9692,183,1056,119,2216,7877,10757,8243,2569,211,650,799,4337,119
"ACOT9",294,888,483,2097,852,195,57,1436,1435,1659,1929,968,657,34,406,17,224,1698,1457,585,757,49,114,138,121,187
"RP13-314C10.5",2,3,5,2,2,0,0,24,5,16,7,3,7,0,4,0,1,2,4,2,3,0,2,2,0,0
"SAT1",23924,45853,61344,65803,34159,6321,1162,61988,36891,51335,123940,24772,39893,701,25192,418,4325,59337,90949,40328,16738,2912,9297,12590,17369,20569
"APOO",205,750,1160,465,719,66,42,1098,1568,2393,966,754,847,9,177,13,351,1082,1828,1664,205,62,104,234,891,71
"CXorf58",3,7,5,4,5,2,1,5,6,7,1,2,8,1,1,0,4,4,18,5,0,0,0,2,5,0
"KLHL15",204,171,86,1220,285,45,14,141,185,106,337,208,68,21,147,3,30,444,557,176,494,51,82,167,398,54
"EIF2S3",2526,3125,2397,3552,2744,866,102,6103,6033,3144,5377,3181,3487,135,1063,19,729,6182,6757,5289,2181,395,554,913,5607,1144
"ZFX",516,496,415,1567,687,270,48,937,994,867,1046,694,306,27,360,17,166,1292,1195,1077,677,63,260,413,751,183
"PDK3",672,435,172,511,617,31,12,1243,919,1339,757,1780,213,6,392,13,177,957,693,390,276,37,105,259,753,46
"POLA1",52,123,43,203,108,28,10,242,228,520,244,153,70,0,45,0,49,346,186,226,65,12,18,91,149,39
"IL1RAPL1",5,1,0,1,11,10,0,3,6,1,5,0,0,0,0,0,28,23,174,6,11,0,1,3,0,0
"NR0B1",2,0,1,0,0,1,0,0,5,1,0,7,0,0,0,0,50,1,0,0,0,0,0,0,0,0
"CXorf21",262,364,55,1173,251,135,14,1645,1168,497,898,253,32,18,317,1,38,139,68,293,105,11,85,95,120,189
"GK",1243,1841,282,4548,645,47,28,2019,1419,679,4023,1128,332,40,1501,9,214,756,704,379,603,44,284,277,504,238
"TAB3",108,135,150,390,164,48,13,233,177,303,340,221,110,5,84,5,42,433,724,224,189,7,33,301,434,86
"DMD",150,122,153,296,195,67,12,252,615,338,203,1031,4,17,10,2,19,1105,567,243,423,7,14,25,27,47
"RP11-305F18.1",4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,11,1,1,0,0,0,7,0,0
"TMEM47",124,162,35,920,616,81,53,215,411,96,674,616,26,31,31,12,35,1898,1136,366,870,25,32,52,135,67
"PRRG1",15,96,65,150,101,47,23,30,68,162,151,254,2,7,25,8,11,371,214,46,162,12,18,43,25,12
"LANCL3",15,28,16,22,25,5,0,23,33,45,70,110,3,0,17,0,1,81,36,7,25,4,4,3,5,5
"XK",7,18,38,3,29,3,0,31,30,73,4,55,8,0,5,2,8,41,18,65,6,0,1,1,2,1
"CYBB",308,1717,156,9835,432,150,43,5048,1809,654,15256,1057,280,46,1823,11,107,411,135,743,405,23,178,269,260,297
"DYNLT3",1612,1541,480,2114,1962,342,95,1333,1847,1762,2670,1951,1865,60,1050,35,778,2046,2973,3620,1188,120,306,1294,1858,441
"SYTL5",6,116,8,0,21,19,0,0,19,104,0,3,13,0,0,1,42,44,88,127,0,3,1,87,6,0
"SRPX",172,306,45,605,735,1881,51,910,2795,164,2884,1488,55,40,29,7,49,4491,804,141,533,12,6,78,157,108
"RPGR",174,302,230,787,217,165,15,337,482,533,348,441,105,14,113,13,115,1728,1209,656,699,36,27,104,295,267
"TSPAN7",84,274,6,295,271,244,242,174,219,17,611,243,1,63,20,71,142,4373,3863,314,1147,59,36,110,86,219
"MID1IP1",597,1077,924,1527,1013,213,24,1206,1042,3196,2572,1418,516,55,611,10,382,1477,1855,666,763,79,214,956,2213,52
"MID1IP1-AS1",3,2,11,1,3,0,0,19,8,28,6,6,1,0,0,0,3,8,1,0,0,0,3,2,6,0
"RP11-265P11.1",2,3,2,2,0,0,0,6,5,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
"LINC01281",172,52,6,88,80,4,5,233,458,29,9,8,3,0,44,6,1,16,5,22,93,4,45,7,9,135
"RP13-126P21.2",1,3,0,0,3,0,0,19,10,6,3,0,0,0,4,0,0,0,0,1,0,0,1,0,1,0
"BCOR",206,191,235,453,264,59,8,389,388,511,401,302,116,11,136,3,48,537,689,353,226,33,73,184,828,101
"ATP6AP2",1476,3443,1492,8178,4343,1577,583,5001,6142,2995,6944,5663,3269,155,1714,209,5191,7405,9243,9231,2976,229,506,1596,5412,351
"CXorf38",354,440,216,1194,340,63,16,1214,1201,590,1213,721,180,20,328,8,135,803,732,532,398,23,94,132,457,113
"MED14",171,256,203,517,282,65,16,451,395,467,565,366,197,12,146,3,58,525,616,290,275,21,66,244,657,93
"MED14OS",27,53,20,105,128,36,6,109,53,62,134,65,30,2,29,3,9,114,112,61,49,1,9,13,25,35
"USP9X",706,1107,859,2651,1000,272,46,1291,1393,1694,2383,1085,386,41,631,16,150,2235,1994,1082,1010,84,188,609,2661,332
"RP5-1172N10.2",1,1,2,1,1,1,0,4,1,7,3,4,5,0,0,0,1,3,13,20,0,0,1,3,11,0
"DDX3X",4985,3225,2526,17744,4127,1744,247,3520,4464,2499,5928,4133,1698,412,2666,98,496,11270,13545,4787,9393,446,1001,2060,6374,2335
"CASK",204,269,157,1191,380,89,17,328,460,751,261,459,119,11,108,12,55,755,818,363,642,18,53,262,871,137
"GPR34",117,244,21,1681,230,111,8,347,583,41,4561,71,33,4,344,1,83,418,99,197,77,32,88,251,158,84
"GPR82",34,20,141,293,26,132,4,146,121,84,420,205,63,6,44,1,7,57,121,191,116,3,12,14,64,203
"MAOA",15,66,6,108,114,46,9,69,211,10,30,44,768,1,29,25,95,1223,1271,550,137,20,8,25,36,38
"MAOB",103,253,1,12,467,96,7,57,338,4,1,50,27,0,5,0,235,1603,271,46,54,30,1,319,4667,10
"NDP",1,7,3,1,194,10,2,6,42,3,32,4,5,0,2,9,0,82,26,3,5,28,0,29,1084,6
"EFHC2",6,49,294,5,32,7,9,41,37,69,5,41,9,0,14,3,4,53,24,9,20,10,4,17,129,3
"FUNDC1",121,335,1289,502,697,246,88,741,1040,1026,896,916,570,9,170,140,403,1083,1903,1769,342,39,114,309,1213,152
"KDM6A",1082,684,392,973,725,90,8,1075,982,733,1123,284,90,22,679,19,115,1381,682,294,393,86,237,458,1140,92
"CXorf36",96,447,9,309,827,82,82,466,411,32,878,138,3,32,102,51,94,5508,2982,154,695,76,64,126,275,63
"MIR222HG",772,331,15,1021,366,60,8,245,476,46,859,241,46,17,337,3,14,1326,713,59,448,39,86,96,307,127
"RP6-99M1.3",2,5,0,96,1,1,2,2,3,0,3,13,2,1,2,0,0,8,32,0,32,0,0,0,1,5
"RP5-1158E12.3",71,22,1,1,19,0,0,11,22,7,42,43,5,0,15,0,1,39,1,0,3,0,5,2,9,0
"LINC01186",1,6,0,1,4,1,1,1,7,1,0,17,4,0,1,1,2,11,1,1,1,0,0,1,2,0
"KRBOX4",232,267,53,277,325,117,15,424,713,451,432,253,85,8,161,19,84,825,661,325,283,26,61,278,434,81
"ZNF674",30,36,17,50,37,13,1,53,73,67,58,47,13,0,21,5,15,90,66,52,39,10,9,41,59,8
"ZNF674-AS1",149,119,87,100,97,24,14,140,228,278,141,119,75,2,68,21,75,168,392,163,74,7,31,77,154,41
"CHST7",206,238,89,665,237,8,22,302,413,120,635,122,82,15,207,25,22,1084,648,142,418,15,33,41,56,34
"SLC9A7",178,243,88,462,225,39,9,379,637,545,628,425,136,7,107,5,57,595,429,171,75,6,22,98,280,43
"RP2",249,287,95,819,291,29,9,296,261,211,1002,197,74,17,260,35,65,360,253,120,338,31,71,174,393,55
"LINC01545",3,5,8,3,19,0,0,11,10,36,1,10,6,0,2,0,38,38,64,12,1,3,2,25,62,0
"JADE3",22,73,92,56,95,8,5,95,93,301,45,185,68,2,16,11,58,210,850,200,41,8,12,210,327,12
"RGN",24,18,73,30,32,25,3,34,191,30,126,48,3,1,0,0,12,212,91,15,39,2,0,21,15,1
"NDUFB11",4357,6798,5277,5968,7859,1393,242,13453,17332,20942,12522,7461,11883,215,3638,339,4905,12874,14531,17200,3836,563,1618,3545,14916,165
"RBM10",366,330,362,646,420,177,22,817,1155,1148,880,770,410,18,239,15,113,1237,999,949,389,41,90,249,569,52
"UBA1",448,972,989,1505,1067,316,48,1558,1908,2021,2104,1522,820,47,412,78,368,2964,2127,2186,894,77,176,619,1962,200
"CDK16",994,1361,709,743,1223,98,66,2454,2899,5308,2576,1367,570,18,481,97,475,2387,1949,1062,452,88,235,528,1775,110
"USP11",534,373,148,940,548,374,30,1492,1820,948,883,589,135,43,295,84,286,2540,828,1799,761,41,120,126,426,62
"RP11-571E6.3",1,0,0,7,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1
"ZNF41",43,63,27,93,79,10,2,139,134,128,168,45,22,2,33,4,24,164,95,41,37,10,16,46,161,9
"LINC01560",5,6,116,72,23,47,4,15,25,24,23,275,61,5,5,4,6,60,319,266,91,3,3,12,40,10
"ARAF",363,615,381,707,534,139,57,1233,1284,1306,1414,435,485,21,313,70,214,1454,1901,1301,410,44,92,222,692,79
"SYN1",3,9,4,26,24,1,1,27,14,8,33,27,4,1,8,0,2,30,25,27,72,0,3,1,4,5
"TIMP1",2858,15837,1248,30989,32090,9017,1605,35751,24855,9392,28097,47454,17330,2968,4412,405,5846,51318,60754,13387,62445,938,2186,4668,16878,19089
"CFP",91,201,216,136,65,95,5,442,388,52,573,202,55,3,63,4,16,227,99,215,53,9,19,29,12,19
"ELK1",314,353,233,468,445,52,26,938,1030,617,864,545,244,21,177,39,167,713,1078,486,350,29,62,141,482,47
"UXT",4251,4564,2363,3941,4614,1265,145,8672,9807,7255,6472,6692,4427,150,2228,159,1388,9315,11336,9854,3528,463,948,1769,4446,1942
"UXT-AS1",21,19,1,11,22,0,0,14,42,54,23,6,2,0,18,0,7,35,2,3,17,0,6,22,19,0
"AL022578.1",2,2,0,2,5,0,0,6,5,3,1,1,0,0,2,0,1,5,0,0,2,1,0,1,7,0
"ZNF81",23,59,37,92,64,12,9,98,89,127,135,79,35,1,30,3,17,101,57,75,60,6,8,21,71,14
"ZNF182",21,32,27,138,39,34,9,90,99,90,87,79,19,7,17,6,19,140,149,147,71,1,8,37,127,15
"ZNF630",28,48,24,30,52,17,1,77,106,136,38,31,8,0,23,6,30,134,152,67,25,8,10,56,146,10
"SSX5",1,1,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"SLC38A5",69,109,20,321,398,159,25,762,335,533,110,53,28,3,134,4,7,235,94,52,162,3,31,19,63,28
"FTSJ1",416,834,301,719,897,109,37,1361,1562,2587,1465,798,698,14,358,41,210,1363,1009,609,334,41,79,195,571,89
"AF196972.9",6,7,15,8,3,3,3,33,19,23,17,9,21,0,1,3,9,17,15,8,4,2,2,20,9,1
"PORCN",137,255,91,202,254,41,4,530,437,465,410,95,213,12,107,7,94,617,498,237,115,21,32,80,323,15
"EBP",447,849,2420,896,667,222,45,984,1647,5348,1290,1762,2967,17,405,77,307,1325,2906,2523,535,43,121,395,900,441
"TBC1D25",228,208,124,200,184,66,21,374,534,410,385,183,103,4,140,29,90,496,414,345,156,20,47,103,269,32
"RP11-1148L6.9",27,24,5,11,36,0,1,41,45,78,56,2,4,1,20,0,6,90,3,7,7,2,9,46,45,0
"RBM3",5463,11695,2789,8380,12056,2146,506,18266,14518,14411,13866,6285,7017,280,3499,286,1911,24907,16313,16381,4715,949,1395,5817,18683,3340
"WDR13",361,1012,627,1333,1020,408,58,1411,2279,2268,1518,936,826,65,304,116,320,3310,4080,1557,954,72,97,432,1217,34
"WAS",942,933,296,1331,518,184,29,4451,4769,683,3896,223,97,23,1051,21,134,509,67,171,584,69,214,146,85,140
"SUV39H1",59,102,58,89,84,22,3,284,322,271,205,92,59,2,40,2,43,183,84,152,34,2,8,46,79,14
"AF196970.3",2,0,0,0,1,2,0,4,2,2,1,0,0,0,0,0,2,3,2,0,0,1,0,2,3,0
"GLOD5",8,5,5,0,15,3,0,3,25,29,0,3,14,0,4,6,13,31,56,36,0,0,2,27,42,0
"HDAC6",129,196,101,389,169,67,26,323,448,615,364,202,131,21,91,32,95,688,512,518,253,4,39,123,242,74
"ERAS",1,1,0,2,1,1,0,0,1,2,0,0,1,0,0,0,0,4,2,1,3,0,0,0,2,0
"PCSK1N",178,417,205,69,239,3,1,198,3493,1977,14,22,149,4,50,0,84,287,95,893,86,29,24,40,33,1
"TIMM17B",784,1360,1169,929,2003,268,73,3565,5156,7965,3100,1335,2257,40,805,315,1539,2827,3938,5215,666,119,497,1034,2587,123
"PQBP1",1415,1575,899,1711,1700,412,49,3225,4559,4972,2480,2120,1291,66,775,67,579,4464,4328,4344,1075,130,325,507,1485,249
"SLC35A2",163,770,557,639,543,127,46,1019,1253,1331,974,1024,711,21,178,72,222,1041,2190,967,418,34,79,349,768,39
"PIM2",1343,1846,297,897,911,143,60,8223,3641,2790,772,479,183,16,910,29,34,1086,845,1120,702,71,544,248,511,611
"OTUD5",206,356,380,1265,348,135,20,812,766,645,606,513,165,33,194,34,67,912,948,681,741,14,73,215,538,187
"KCND1",5,9,2,22,16,7,1,17,28,13,76,10,3,1,2,0,2,80,36,7,15,2,6,4,8,5
"GRIPAP1",265,381,435,1005,356,155,18,917,936,1128,1099,1010,355,20,248,20,184,990,1065,1131,504,31,78,259,554,249
"TFE3",286,326,103,610,430,95,19,678,628,697,1537,239,122,35,228,29,108,1196,716,344,322,16,61,163,402,60
"CCDC120",29,74,89,62,96,19,2,61,114,221,26,117,37,2,19,8,32,255,315,127,57,7,11,81,264,7
"PRAF2",118,201,156,778,380,129,91,495,594,480,541,433,66,42,143,45,135,839,2050,1568,684,20,42,115,405,65
"WDR45",633,1059,979,1730,1375,414,73,2325,2762,2372,1721,1077,614,71,453,119,381,3336,3980,2424,1214,77,169,486,1073,103
"GPKOW",201,202,200,413,240,130,17,636,846,886,481,456,277,14,123,46,157,896,803,1086,254,13,43,92,230,83
"MAGIX",62,159,113,85,168,14,9,215,250,366,94,147,158,3,30,15,124,323,1202,224,77,13,47,180,477,15
"PLP2",3141,7351,1006,4697,4125,689,102,7763,10301,11329,13069,5998,13218,89,3995,69,1628,9186,6369,8371,3311,343,841,2187,5994,1280
"PRICKLE3",85,195,21,92,138,5,4,301,414,246,348,115,82,4,76,11,69,418,126,120,43,6,20,82,258,3
"SYP",30,26,27,212,53,33,3,61,64,141,59,90,19,20,18,2,48,223,138,148,197,11,13,29,74,17
"SYP-AS1",1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"CACNA1F",6,8,1,9,3,1,0,12,29,6,9,2,4,0,6,0,5,25,27,4,10,4,9,62,44,0
"CCDC22",165,273,168,521,220,110,6,738,1131,546,720,282,226,15,164,11,202,1036,849,1029,250,14,52,120,451,14
"FOXP3",284,390,30,774,198,19,0,2010,2830,295,455,10,8,4,359,3,4,114,6,23,241,5,122,40,47,66
"PPP1R3F",47,79,38,102,66,6,4,115,204,371,94,20,52,7,33,5,15,214,92,32,70,3,15,34,107,9
"LL0XNC01-7P3.1",3,0,12,7,3,1,0,13,12,16,3,11,2,1,0,0,1,17,10,10,14,0,2,1,9,5
"USP27X-AS1",1,7,11,10,10,7,0,9,24,22,11,9,5,1,4,1,9,56,36,36,11,0,0,9,37,0
"USP27X",7,10,20,68,19,21,0,21,45,51,19,101,8,1,4,0,9,103,154,87,60,1,1,9,33,16
"CLCN5",50,102,78,214,64,22,5,114,115,209,364,189,42,4,29,5,14,258,126,60,65,6,10,45,105,27
"CCNB3",5,1,17,4,0,1,0,7,8,15,5,4,0,0,1,0,4,4,15,12,2,4,0,6,4,2
"SHROOM4",29,106,5,255,116,26,14,100,99,29,176,89,3,19,36,8,26,1388,541,55,264,15,16,29,92,38
"NUDT10",25,10,0,72,80,15,1,8,83,6,31,2,0,2,8,0,7,104,34,1,19,0,1,12,16,2
"RP11-348F1.3",23,6,1,1,6,0,0,22,41,1,4,0,0,0,7,0,0,4,0,0,0,1,3,1,1,0
"NUDT11",40,14,15,88,93,16,5,11,229,18,183,22,3,1,7,0,8,105,35,9,25,2,1,10,9,3
"GSPT2",62,35,39,143,75,117,4,249,675,282,222,388,14,1,20,1,84,469,552,62,89,2,16,15,22,15
"MAGED1",158,562,397,1152,1695,401,122,1966,3016,2727,1771,1516,1033,30,174,76,1523,3112,3977,298,581,31,91,1118,1673,110
"FAM156A",30,26,3,10,19,0,1,24,48,23,48,2,1,0,15,0,47,33,2,3,4,3,13,20,59,0
"GPR173",5,0,2,19,15,11,1,11,6,4,39,5,0,5,0,2,3,53,33,6,20,0,1,2,5,3
"TSPYL2",3157,1556,422,3594,1876,538,97,1627,2880,1577,2564,1191,130,85,1370,76,286,3876,1907,1560,2737,222,933,666,2148,408
"KANTR",37,27,2,12,39,3,0,82,96,125,90,4,2,1,19,0,38,160,6,9,13,5,20,36,125,1
"RP11-258C19.7",25,16,78,77,24,35,6,43,55,81,41,165,23,3,15,4,9,132,343,283,84,5,9,41,128,32
"KDM5C",414,420,322,780,513,119,34,878,1054,932,999,404,181,27,245,27,122,1396,1053,479,514,33,82,306,767,96
"IQSEC2",68,227,103,289,300,55,36,443,399,555,815,194,145,7,163,49,110,706,621,489,121,15,68,149,537,23
"SMC1A",501,824,1454,2561,919,325,49,2529,2909,2856,2930,2784,1000,54,409,32,308,3020,2233,2269,1074,63,122,390,978,575
"RIBC1",9,14,40,10,22,9,1,25,29,43,8,12,21,2,4,3,68,58,281,256,6,13,17,56,146,2
"HSD17B10",660,1936,2659,2015,2087,457,197,3869,5266,6489,2961,5143,3919,67,622,178,695,4324,5663,6271,1459,104,210,774,2429,196
"HUWE1",660,961,614,1783,798,221,21,1501,1877,2689,2153,1266,412,42,458,33,230,2832,1828,667,665,68,191,563,1551,309
"PHF8",171,171,154,360,237,65,19,370,460,419,393,253,94,14,134,6,77,695,617,271,199,16,45,195,418,67
"FAM120C",76,135,78,156,105,26,4,341,331,511,273,433,118,6,55,3,74,352,252,122,110,11,25,77,334,16
"WNK3",12,45,5,61,33,35,3,37,124,78,8,19,1,2,11,0,18,195,73,210,41,4,0,12,15,3
"TSR2",463,955,870,1014,924,390,144,1616,2687,2442,1225,1496,823,33,390,140,602,2674,1994,2729,702,48,137,362,748,140
"FGD1",11,28,18,81,98,21,6,51,144,136,145,52,60,6,12,7,15,266,224,168,66,7,5,21,99,6
"GNL3L",106,163,97,404,148,81,3,528,640,488,362,288,85,8,46,6,82,652,246,436,177,11,16,47,154,75
"ITIH6",1,10,0,0,28,0,0,11,10,14,0,0,0,0,0,0,9,18,18,71,0,0,2,16,54,0
"MAGED2",656,1336,522,3756,4301,2190,280,2497,7948,3277,1777,1101,1252,196,526,913,6793,11602,22143,57925,2929,152,450,2778,6498,451
"TRO",13,16,0,37,77,47,4,22,86,14,90,12,2,3,13,4,6,149,29,7,28,1,4,18,22,4
"APEX2",135,320,279,416,307,67,14,868,1081,1509,1062,613,534,11,145,11,204,795,1013,620,218,23,45,157,428,63
"FAM104B",212,670,586,566,677,126,123,765,1460,1292,1007,766,882,17,262,83,203,916,2653,1065,343,50,108,494,983,198
"MTRNR2L10",5,5,8,400,4,111,28,1,2,1,1,25,26,134,12,28,2,6,133,769,422,13,4,48,77,117
"PAGE5",9,3,14,3,11,3,0,10,15,15,7,2,0,0,1,0,0,5,2,0,4,0,2,3,3,3
"MAGEH1",495,512,292,1303,1004,500,48,1010,1500,822,331,350,81,40,223,17,281,1580,2452,473,936,27,164,204,383,435
"USP51",22,24,20,262,67,54,5,66,121,84,81,64,3,5,15,2,8,201,242,76,160,1,13,30,40,28
"RRAGB",214,218,120,371,357,123,13,381,786,646,452,367,111,9,110,11,158,895,771,523,230,29,78,206,479,38
"RP13-188A5.1",34,81,84,156,95,117,9,189,237,255,86,78,47,3,43,3,38,260,189,84,128,8,19,109,137,46
"KLF8",59,140,307,135,243,101,17,101,145,653,108,127,115,8,35,9,44,837,652,79,147,14,8,317,452,46
"UBQLN2",395,437,372,794,489,144,48,554,901,496,835,570,523,24,212,30,163,917,1597,1287,467,31,70,282,643,85
"RP11-431N15.2",1,0,0,0,0,3,1,1,28,0,0,4,1,0,1,0,0,1,0,3,0,0,0,0,0,1
"LINC01420",1604,1747,469,2377,3742,620,219,3857,6148,2190,5497,3297,1885,92,1293,80,729,5234,7278,3889,2064,209,468,1824,4697,1166
"SPIN3",32,69,37,33,69,23,3,80,127,103,61,73,24,1,17,3,36,112,147,123,34,4,14,63,261,1
"SPIN2B",139,190,144,208,228,74,27,280,469,488,303,406,205,11,82,12,116,519,704,472,226,11,39,102,733,14
"RP3-323P24.3",95,95,6,20,140,3,0,261,391,349,128,7,5,2,65,0,36,226,10,14,14,19,34,185,483,0
"SPIN2A",3,4,9,57,37,15,2,13,15,7,5,40,5,0,2,0,3,47,28,29,11,0,2,5,10,0
"FAAH2",882,604,45,93,413,30,4,1219,795,417,174,42,187,3,311,16,256,747,668,541,97,25,124,208,290,57
"ZXDB",93,83,29,126,108,26,5,96,173,150,79,95,46,2,38,10,34,314,330,204,94,7,20,78,251,19
"ZXDA",57,46,31,94,50,9,2,79,127,43,63,30,5,6,40,2,14,154,148,68,38,5,8,23,61,8
"SPIN4",34,71,28,89,54,14,7,39,90,176,98,489,77,5,22,2,8,114,122,64,52,1,15,65,81,8
"ARHGEF9",338,319,314,493,518,101,24,865,1650,1407,614,1330,239,18,236,13,158,1395,568,431,419,35,88,296,570,125
"AMER1",15,30,56,41,30,5,0,58,109,79,43,91,27,1,11,0,7,83,74,22,30,1,1,7,31,2
"ASB12",2,0,0,2,1,0,1,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"MTMR8",33,11,8,36,27,2,1,68,92,22,23,9,1,0,34,0,1,68,9,6,17,2,5,5,2,10
"ZC4H2",57,53,22,87,87,44,8,137,514,124,59,30,12,1,24,3,9,236,176,29,77,3,4,16,47,24
"ZC3H12B",9,3,2,11,7,10,0,4,15,2,0,4,0,0,4,1,0,25,8,4,6,0,0,1,1,6
"LAS1L",154,327,412,526,324,127,35,872,1114,1095,637,948,569,13,146,36,247,1063,1233,1408,337,25,47,165,709,118
"MSN",1887,2385,721,8870,2075,598,230,5565,5149,1572,8709,3252,1520,181,2263,69,284,8196,4398,1222,4445,208,375,514,981,2344
"RP6-159A1.3",1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP6-159A1.4",14,19,44,23,11,16,0,63,67,5,193,48,53,0,14,0,2,14,6,29,14,1,4,6,3,13
"VSIG4",40,612,13,3410,111,58,28,1622,436,224,8758,361,103,65,226,2,62,309,122,419,164,3,39,88,86,146
"HEPH",20,33,29,293,213,103,27,76,200,42,310,73,9,10,4,2,2,292,106,48,233,3,2,28,40,30
"EDA2R",27,5,1,96,60,49,17,36,70,5,223,39,4,2,2,5,11,219,97,28,69,3,7,24,110,8
"AR",59,573,632,236,671,343,14,83,1056,11683,26,195,24,14,5,9,787,3157,6702,3601,137,37,229,2426,6334,31
"RP6-201G10.2",1,10,4,4,6,1,0,2,6,3,5,13,3,0,3,0,1,16,45,15,0,0,0,7,7,1
"OPHN1",48,179,99,173,201,125,0,182,552,969,318,224,166,6,51,2,75,837,927,346,80,10,20,102,386,9
"YIPF6",510,915,904,1266,1279,437,156,1225,2003,2578,1214,2615,2427,36,409,73,926,2265,5774,4340,787,78,231,903,1761,451
"STARD8",15,84,3,224,79,10,10,83,67,21,515,17,3,17,60,4,15,315,109,16,158,5,13,17,43,12
"EFNB1",154,151,42,635,371,117,31,252,376,178,920,524,90,19,87,5,31,1228,670,182,284,17,20,74,204,22
"PJA1",160,159,47,276,272,166,15,429,870,391,333,406,189,8,95,4,172,688,666,582,176,12,29,156,380,40
"FAM155B",2,6,7,8,0,1,0,0,5,54,0,21,0,0,1,0,0,9,29,22,5,0,0,7,20,0
"EDA",69,32,5,56,70,58,1,78,105,210,142,19,0,8,16,0,21,369,69,14,50,2,8,15,41,7
"IGBP1",1342,1726,1228,2575,1940,792,57,3246,4686,3507,3378,2359,1869,111,680,20,499,5775,7337,6725,1830,141,289,454,3223,1351
"PDZD11",325,1008,763,1294,1300,241,111,1721,2636,3061,3236,1419,2066,47,395,33,642,1988,2562,2913,888,70,221,502,2828,353
"KIF4A",18,58,90,189,69,0,15,280,291,852,367,446,320,0,11,1,19,32,32,143,67,2,7,33,27,30
"DLG3",62,279,186,167,236,34,10,219,383,1411,138,351,284,10,77,5,96,428,737,612,189,16,31,156,932,38
"DLG3-AS1",3,2,136,0,4,0,0,14,7,34,0,2,29,0,3,0,5,13,45,120,0,4,11,34,37,0
"SNX12",235,464,278,437,566,122,21,910,1263,1127,1271,689,436,12,169,4,178,1584,1489,771,288,32,44,217,670,145
"FOXO4",111,59,28,102,84,20,3,71,125,79,110,36,62,6,50,0,15,438,148,83,85,12,27,54,118,8
"CXorf65",6,3,15,59,1,7,1,25,8,3,7,10,4,4,10,0,1,5,9,7,54,0,1,2,1,39
"IL2RG",3356,2651,1055,4013,1629,577,157,10525,14982,1845,3491,783,404,52,3837,51,425,1626,371,797,2442,143,503,237,196,3359
"MED12",103,119,154,262,137,71,8,307,479,428,301,274,89,9,82,4,51,823,609,197,212,10,26,88,242,35
