"","CID3586","CID3921","CID45171","CID3838","CID4066","CID44041","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3946","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID4040","CID3941","CID3948","CID4067","CID4290A","CID4398"
"CLUH",120,236,336,310,254,40,11,363,510,549,434,905,175,6,90,11,62,613,587,162,164,17,17,209,529,10
"RP11-74E22.8",1,4,4,13,2,2,0,0,1,0,0,12,5,0,1,1,1,6,5,10,9,0,2,1,1,3
"RAP1GAP2",51,124,75,62,70,27,6,134,256,100,174,383,37,0,10,6,21,223,316,54,21,3,8,73,140,27
"CTD-3060P21.1",2,3,1,0,2,4,0,1,7,4,1,4,1,0,0,0,0,25,30,11,0,0,0,2,12,0
"CTD-2309O5.3",1,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,3,1,1,1,1,0
"OR3A2",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR3A1",3,0,0,0,2,0,0,3,2,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0
"ASPA",7,9,4,48,52,43,6,23,42,3,33,29,0,10,1,2,13,270,80,101,67,2,2,28,12,14
"TRPV3",18,9,3,36,2,12,1,54,41,117,2,46,23,2,4,0,1,42,14,14,31,0,2,1,4,17
"TRPV1",9,20,17,44,27,18,2,21,42,25,34,53,43,1,9,0,18,94,80,75,31,4,9,49,88,2
"SHPK",5,7,39,115,16,22,5,22,21,20,42,66,36,6,7,2,23,40,176,143,47,3,3,31,36,10
"CTNS",101,162,63,455,164,48,0,353,419,190,718,155,73,11,116,4,87,395,265,205,117,13,25,132,204,14
"RP11-235E17.6",1,1,0,3,4,0,0,1,1,2,1,2,3,0,0,0,1,7,4,1,1,0,0,5,4,0
"TAX1BP3",309,470,1688,2430,610,429,165,648,1078,433,1709,4401,1823,92,244,27,190,1425,4316,1129,1897,69,71,362,643,99
"P2RX5-TAX1BP3",4,8,2,9,2,0,0,18,31,19,17,21,9,0,4,1,27,13,1,5,13,0,2,3,4,4
"EMC6",1428,1846,1352,1781,2041,351,89,3939,4666,5624,5700,4009,2837,43,1085,48,1502,3259,3343,2991,1019,128,375,1299,3352,52
"P2RX5",13,22,46,94,5,23,2,56,40,11,19,253,85,2,16,4,1,12,10,25,155,1,14,3,4,50
"ITGAE",762,976,888,1329,1453,258,219,2118,3137,2328,2626,2717,1252,45,1006,149,546,1716,1358,967,1069,114,273,679,2129,572
"GSG2",2,10,8,20,8,12,0,96,61,40,117,53,15,0,6,0,7,3,2,2,5,0,1,4,8,9
"NCBP3",549,538,313,1466,714,228,38,945,1375,993,1302,1649,467,36,288,22,208,1906,1436,742,670,82,97,357,1141,121
"CAMKK1",31,80,40,88,55,52,6,65,65,183,167,267,21,0,10,1,14,196,197,32,52,6,4,44,238,6
"P2RX1",43,33,20,20,4,13,2,638,65,356,110,38,10,4,2,0,3,58,20,38,25,0,38,2,6,6
"ATP2A3",331,353,75,362,223,56,9,829,675,835,346,303,46,15,276,7,205,304,345,196,385,26,105,239,635,78
"ZZEF1",254,286,261,771,259,85,12,805,690,536,1002,381,140,20,215,9,100,1144,651,224,377,26,53,261,760,105
"CYB5D2",131,215,277,696,347,360,37,439,668,523,651,743,240,28,64,11,264,1436,1361,1077,574,44,58,359,575,132
"ANKFY1",181,208,129,655,223,113,20,582,539,327,1183,678,195,8,164,7,95,888,644,317,316,22,49,179,491,93
"UBE2G1",1239,997,908,1227,1400,102,89,2216,2579,1873,2613,1705,998,27,798,46,239,1855,1647,1316,789,105,251,1222,3401,107
"SPNS3",197,86,55,114,102,71,7,332,327,41,173,194,15,4,135,0,13,105,52,32,134,11,46,28,21,17
"RP13-580F15.2",27,48,55,29,24,24,0,153,212,176,72,167,20,2,34,1,14,73,106,6,26,6,9,156,331,6
"SPNS2",45,197,67,187,223,26,35,107,74,172,99,702,43,60,46,14,14,1579,1037,26,482,19,21,55,611,21
"MYBBP1A",146,176,92,298,263,78,8,508,563,310,538,543,129,27,91,0,43,957,493,262,419,26,20,136,353,15
"GGT6",77,272,474,10,199,31,18,20,297,802,0,233,155,0,8,0,78,416,268,16,4,23,9,374,1088,1
"SMTNL2",2,2,0,26,22,2,0,46,21,2,73,6,0,1,1,0,0,67,18,6,34,0,0,0,1,0
"ALOX15",4,15,45,2,10,1,1,9,17,105,12,3,1,0,4,0,82,49,21,5,2,1,4,47,39,0
"PELP1",238,258,231,510,354,105,30,990,1262,868,725,1148,287,18,155,18,169,1181,691,575,309,37,56,257,754,34
"AC091153.4",3,0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0
